Colonizer,Colony,Latitude_Colony,Longitude_Colony,Latitude_Colonizer,Longitude_Colonizer,Language_Colony,Family_Colony,Language_Colonizer,Family_Colonizer
Italy,Israel,31.046051,34.851612,41.87194,12.56738,hebrew, Afro-Asiatic ,italian, Indo-European
Netherlands*,Brazil,-14.235004,-51.92528,52.132633,5.291266,portuguese, Indo-European,dutch, Indo-European
Netherlands*,Sri Lanka,7.873054,80.771797,52.132633,5.291266,sinhala, Indo-European,dutch, Indo-European
Netherlands*,South Africa,-30.559482,22.937506,52.132633,5.291266,zulu, Niger-Congo,dutch, Indo-European
Netherlands*,Suriname,3.919305,-56.027783,52.132633,5.291266,dutch, Indo-European,dutch, Indo-European
Netherlands*,Suriname,3.919305,-56.027783,52.132633,5.291266,english, Indo-European,dutch, Indo-European
Netherlands*,Indonesia,-0.789275,113.921327,52.132633,5.291266,indonesian, Austronesian,dutch, Indo-European
Netherlands*,Papua New Guinea,-6.314993,143.95555,52.132633,5.291266,tok pisin, Creole,dutch, Indo-European
Netherlands*,Papua New Guinea,-6.314993,143.95555,52.132633,5.291266,english, Indo-European,dutch, Indo-European
Netherlands*,Malaysia*,4.210484,101.975766,52.132633,5.291266,malay, Austronesian,dutch, Indo-European
Netherlands*,Senegal,14.497401,-14.452362,52.132633,5.291266,french, Indo-European,dutch, Indo-European
Portugal,Angola,-11.202692,17.873887,39.399872,-8.224454,portuguese, Indo-European,portuguese, Indo-European
Portugal,Cabo Verde,16.002082,-24.013197,39.399872,-8.224454,portuguese, Indo-European,portuguese, Indo-European
Portugal,Morocco,31.791702,-7.09262,39.399872,-8.224454,arabic, Afro-Asiatic,portuguese, Indo-European
Portugal,Guinea-Bissau,11.803749,-15.180413,39.399872,-8.224454,portuguese, Indo-European,portuguese, Indo-European
Portugal,Mozambique,-18.665695,35.529562,39.399872,-8.224454,makhuwa, Niger-Congo,portuguese, Indo-European
Portugal,Sao Tome and Principe,0.1864,6.6131,39.399872,-8.224454,portuguese, Indo-European,portuguese, Indo-European
Portugal,Benin,9.30769,2.315834,39.399872,-8.224454,french, Indo-European,portuguese, Indo-European
Portugal,India,20.593684,78.96288,39.399872,-8.224454,hindi, Indo-European ,portuguese, Indo-European
Portugal,Japan,36.204824,138.252924,39.399872,-8.224454,japanese, Japonic ,portuguese, Indo-European
Portugal,Sri Lanka,7.873054,80.771797,39.399872,-8.224454,sinhala, Indo-European,portuguese, Indo-European
Portugal,Malaysia*,4.210484,101.975766,39.399872,-8.224454,malay, Austronesian,portuguese, Indo-European
Portugal,Oman,21.512583,55.923255,39.399872,-8.224454,arabic, Afro-Asiatic,portuguese, Indo-European
Portugal,Indonesia,-0.789275,113.921327,39.399872,-8.224454,indonesian, Austronesian,portuguese, Indo-European
Portugal,Brazil,-14.235004,-51.92528,39.399872,-8.224454,portuguese, Indo-European,portuguese, Indo-European
Portugal,Uruguay,-32.522779,-55.765835,39.399872,-8.224454,spanish, Indo-European,portuguese, Indo-European
Portugal,Argentina,-38.416097,-63.616672,39.399872,-8.224454,spanish, Indo-European,portuguese, Indo-European
Portugal,Canada,56.130366,-106.346771,39.399872,-8.224454,english, Indo-European,portuguese, Indo-European
Portugal,Canada,56.130366,-106.346771,39.399872,-8.224454,french, Indo-European,portuguese, Indo-European
